No.,Comment,Label
1,?u v l,1
2,m?y a Favelas nh?ng vl,1
3,Liên hoan xác th?t:v,0
4,Cá rô phi ghê vcl,1
5,nip tay to vcl,1
6,c?ng v?,1
7,ng?p thì vl r,1
8,NIP tay to vl,1
9,Device ?i tù lâu vc,2
10,who need dev1ve:v,2
11,Nhìn t?i vl:),1
12,brazin ban vl,1
13,timing d?m lên nhau toang vl,1
14,Fpx ti?c vl,1
15,2 subs b?o sao sml,1
16,"Hôm b?a vs M3C cháy th? gi? l?i b? lo?i, ?en vl",1
17,h? 2 last h?p nghe suy vl,1
18,Vl ch?c fnc c? tình thua ?? tránh drx :)))),1
19,"ra sau mà ông, ?ang th?nh d?n",0
20,nh?ng mà vcs gi? nó rác quá ông,2
21,nh? qu? ?á thì ai c?ng bi?t:),2
22,bây gi? m?y th?ng b?n hay toàn vào tù ko nh?:v,2
23,nói chung ti?n nhi?u thì may ra h?t rác,0
24,"xem vinhcs chán vl, gi? xem lck lpl chuyên môn ?ã, thêm ông v?n tùng phân tích th?y nó hi?u sâu h?n =))",2
25,Thái L? b?n ác z,0
26,"thì ch? th?, VN l??ng bèo vcl",2
27,"out trình SEA éo nói nhi?u ?âu, nhi?u ông còn nghi ng? à",1
28,"Nch ngu vl, th? c? làm ko t?t là ko ?c chê à, ph?i khen hay v?i b? ?ít b?n nó à, ngu v?a thôi b?n ?ii, n?u ai b?o b?n có t? duy thì t? duy b?n nh? c?t nhé",2
29,ph?t onl :)) ko à chán :)),2
30,B?n hàn nhìn ?ánh bài b?n vl,1
31,?m ch?c 1p h?t round,1
32,tay to vl,1
33,?éo gì v?y,1
34,?m ?o th?t ??y,1
35,làm g?n h?t cmnr,1
36,in?ô vs phi l?n còn ng?i nhà,2
37,classic v?n l?i vl,1
38,ui vai l kinh qua,1
39,chú bé ??n =]],2
40,cái th?ng ch?c ti?c,2
41,Này jampi trung c?ng cài vào r?i ??,2
42,Vãi l tri th?c ??,1
43,xl n?a =)))),1
44,xl ác,1
45,clm.. c??i vcl,1
46,dung cúc,0
47,10 T? FAN,0
48,ch?n bé ?ù,2
49,gi?n vl,1
